Ref,Val,Package,PosX,PosY,Rot,Side
"BOOT","SW_SPDT","Boot_switch_custom",74.559400,-71.132800,-90.000000,top
"C1","22u","C_0805_2012Metric",99.413097,-82.804000,0.000000,top
"C2","22u","C_0805_2012Metric",104.188297,-87.731600,90.000000,top
"C3","10u","C_0603_1608Metric",88.544400,-70.205600,0.000000,top
"C4","100n","C_0402_1005Metric",85.090000,-74.676000,90.000000,top
"C5","100n","C_0402_1005Metric",88.544400,-71.932800,0.000000,top
"C6","100n","C_0402_1005Metric",97.028000,-75.438000,-90.000000,top
"C7","100n","C_0402_1005Metric",93.929200,-83.820000,180.000000,top
"C8","10n","C_0402_1005Metric",85.090000,-78.892400,90.000000,top
"C9","1u","C_0402_1005Metric",83.261200,-83.007200,180.000000,top
"C10","1u","C_0402_1005Metric",83.312000,-84.632800,180.000000,top
"C11","100n","C_0402_1005Metric",88.544400,-83.820000,0.000000,top
"C12","10p","C_0402_1005Metric",82.499200,-76.962000,90.000000,top
"C13","10p","C_0402_1005Metric",82.499200,-79.298800,90.000000,top
"FB1","120R","L_0603_1608Metric",85.242400,-83.820000,-90.000000,top
"H1","MountingHole","MountingHole_2.2mm_M2",75.122500,-62.740000,0.000000,top
"H2","MountingHole","MountingHole_2.2mm_M2",107.122500,-62.740000,0.000000,top
"H3","MountingHole","MountingHole_2.2mm_M2",107.122500,-94.740000,0.000000,top
"H4","MountingHole","MountingHole_2.2mm_M2",75.122500,-94.740000,0.000000,top
"I2C","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",83.030000,-94.615000,90.000000,top
"PLED","RED","LED_0603_1608Metric",107.188000,-87.909300,-90.000000,top
"R1","1.5k","R_0402_1005Metric",107.287600,-85.039200,0.000000,top
"R2","10k","R_0402_1005Metric",78.384400,-71.932800,0.000000,top
"R3","1.5k","R_0402_1005Metric",99.847400,-76.022200,-90.000000,top
"R4","1.5k","R_0402_1005Metric",86.004400,-91.262200,180.000000,top
"R5","1.5k","R_0402_1005Metric",88.036400,-91.262200,0.000000,top
"SWD","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",101.600000,-62.865000,-90.000000,top
"U1","STM32F103C8T6","LQFP-48_7x7mm_P0.5mm",91.033600,-77.927200,0.000000,top
"UART","Conn_01x04_Pin","PinHeader_1x04_P2.54mm_Vertical",88.900000,-62.865000,-90.000000,top
"USB","USB_B_Micro","USB_Micro-B_Wuerth_629105150521",106.204400,-77.043200,90.000000,top
"VR","AMS1117-3.3","SOT-223-3_TabPin2",99.362297,-88.595200,-90.000000,top
"XO","16MHz","Crystal_SMD_3225-4Pin_3.2x2.5mm",80.111600,-78.130400,-90.000000,top
